Date,tsla_adj
6/10/2013,100.050003
6/7/2013,102.040001
6/6/2013,97.349998
6/5/2013,95.370003
6/4/2013,94.839996
6/3/2013,92.589996
5/31/2013,97.760002
5/30/2013,104.949997
5/29/2013,104.629997
5/28/2013,110.330002
5/24/2013,97.080002
5/23/2013,92.730003
5/22/2013,87.239998
5/21/2013,87.589996
5/20/2013,89.940002
5/17/2013,91.5
5/16/2013,92.25
5/15/2013,84.839996
5/14/2013,83.239998
5/13/2013,87.800003
5/10/2013,76.760002
5/9/2013,69.400002
5/8/2013,55.790001
5/7/2013,55.509998
5/6/2013,59.5
5/3/2013,54.549999
5/2/2013,54.110001
5/1/2013,53.279999
4/30/2013,53.990002
4/29/2013,54.939999
4/26/2013,51.200001
4/25/2013,52
4/24/2013,50.43
4/23/2013,51.009998
4/22/2013,50.189999
4/19/2013,47.830002
4/18/2013,46.970001
4/17/2013,45.450001
4/16/2013,45.59
4/15/2013,43.299999
4/12/2013,43.75
4/11/2013,43.59
4/10/2013,41.860001
4/9/2013,40.5
4/8/2013,41.830002
4/5/2013,41.369999
4/4/2013,42.009998
4/3/2013,41.099998
4/2/2013,44.34
4/1/2013,43.93
3/28/2013,37.889999
3/27/2013,38.16
3/26/2013,37.860001
3/25/2013,37.529999
3/22/2013,36.619999
3/21/2013,36.009998
3/20/2013,35.950001
3/19/2013,35.080002
3/18/2013,35.150002
3/15/2013,35.290001
3/14/2013,36.849998
3/13/2013,38.98
3/12/2013,39.119999
3/11/2013,39.099998
3/8/2013,38.470001
3/7/2013,38.23
3/6/2013,37.689999
3/5/2013,36.650002
3/4/2013,35.580002
3/1/2013,34.650002
2/28/2013,34.830002
2/27/2013,35.099998
2/26/2013,34.43
2/25/2013,34.380001
2/22/2013,36.110001
2/21/2013,35.16
2/20/2013,38.540001
2/19/2013,39.279999
2/15/2013,37.040001
2/14/2013,38.27
2/13/2013,38.450001
2/12/2013,37.889999
2/11/2013,38.419998
2/8/2013,39.240002
2/7/2013,39.48
2/6/2013,39.169998
2/5/2013,38.130001
2/4/2013,37.740002
2/1/2013,38.299999
